Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
20/09/2024 23:57:16.073;;;;;37.2;;;;;
20/09/2024 23:58:16.554;;;;29.4;;;;;;
20/09/2024 23:58:19.242;;;;20.0;;;;;;
20/09/2024 23:59:15.958;;;95;;;;;;;
20/09/2024 23:59:23.455;;;;;37.0;;;;;
21/09/2024 00:00:13.566;;;94;;;;;;;
21/09/2024 00:00:18.356;;;;;36.9;;;;;
21/09/2024 00:02:53.267;;;;19.9;;;;;;
21/09/2024 00:36:08.570;;;;14.5;;;;;;
21/09/2024 00:37:29.141;;;;29.5;;;;;;
21/09/2024 00:46:25.489;;;95;;;;;;;
21/09/2024 00:47:55.669;7.38;;;;;180;;;;
21/09/2024 00:48:53.952;;;;;37.1;;;;;
21/09/2024 00:54:24.210;;;;;36.8;;;;;
21/09/2024 00:54:40.086;;;;20.0;;;;;;
21/09/2024 00:56:53.775;;;94;;;;;;;
21/09/2024 00:57:53.109;;;94;;;;;;;
21/09/2024 00:59:56.299;;;;;36.9;;;;;
21/09/2024 01:00:03.925;;;;;37.1;;;;;
21/09/2024 01:01:03.491;;;;19.9;;;;;;
21/09/2024 01:04:14.732;;;95;;;;;;;
21/09/2024 01:07:30.440;;;95;;;;;;;
21/09/2024 01:12:27.941;;;;15.9;;;;;;
21/09/2024 01:15:41.321;;;;;37.2;;;;;
21/09/2024 01:30:02.576;;;;;36.9;;;;;
21/09/2024 01:47:55.725;7.38;;;;;180;;;;
21/09/2024 01:50:18.608;;;;27.6;;;;;;
21/09/2024 01:53:47.415;;;94;;;;;;;
21/09/2024 01:56:20.946;;;94;;;;;;;
21/09/2024 01:56:24.109;;;;20.0;;;;;;
21/09/2024 01:59:45.953;;;;;37.0;;;;;
21/09/2024 02:00:11.557;;;;;37.1;;;;;
21/09/2024 02:00:28.350;;;94;;;;;;;
21/09/2024 02:02:27.218;;;94;;;;;;;
21/09/2024 02:05:45.631;;;;29.3;;;;;;
21/09/2024 02:05:46.057;;;;15.8;;;;;;
21/09/2024 02:13:23.584;;;;;36.9;;;;;
21/09/2024 02:47:55.759;7.38;;;;;180;;;;
21/09/2024 02:48:59.427;;;95;;;;;;;
21/09/2024 02:55:26.281;;;;;37.2;;;;;
21/09/2024 02:58:15.185;;;94;;;;;;;
21/09/2024 02:59:14.555;;;;20.0;;;;;;
21/09/2024 02:59:51.786;;;;;37.0;;;;;
21/09/2024 03:00:34.556;;;;;37.1;;;;;
21/09/2024 03:01:46.665;;;;12.8;;;;;;
21/09/2024 03:04:07.493;;;94;;;;;;;
21/09/2024 03:24:15.746;;;94;;;;;;;
21/09/2024 03:28:34.118;7.39;;;;;;;;;
21/09/2024 03:36:44.549;;;;29.6;;;;;;
21/09/2024 03:39:34.151;;;;;36.8;;;;;
21/09/2024 03:47:10.069;;;94;;;;;;;
21/09/2024 03:47:55.797;7.39;;;;;180;;;;
21/09/2024 03:59:12.314;;;;20.0;;;;;;
21/09/2024 03:59:19.501;;;94;;;;;;;
21/09/2024 03:59:41.015;;;;;37.2;;;;;
21/09/2024 03:59:47.721;;;;;37.0;;;;;
21/09/2024 04:00:00.801;;;;;36.9;;;;;
21/09/2024 04:00:31.505;;;94;;;;;;;
21/09/2024 04:04:44.887;;;;22.9;;;;;;
21/09/2024 04:12:07.643;;;94;;;;;;;
